upc_a_code,item_name
161321034553,"DAKOTA GROWERS PASTA COMPANY - DREAMFIELDS HEALTHY CARB LIVING, LINGUINE"
161335080027,DR. MC DOUGALL'S RIGHT FOODS - THAI PEANUT NOODLE
161759134306,THE CHEESECAKE HOUSE CO. - CHEESE CAKE
162825022400,"COCO BAKERY - PUMPKIN & BLUEBERRY LUXURY MACARONS, PUMPKIN & BLUEBERRY"
162825022400,COCO BAKERY - PUMPKIN & BLUEBERRY LUXURY MACARONS
162907823006,"CORNABY'S - BERRY BLUSH PEACH SPREADABLE FRUIT, BERRY BLUSH PEACH"
170000077019,CRAIZE - ROASTED AREPA
170000077026,CRAIZE - MAIZE THINS SWEET AREPA
170038646126,"BEST CHOICE - CHOCOLATE CHIP ICE CREAM, CHOCOLATE CHIP"
170038646126,BEST CHOICE - CHOCOLATE CHIP ICE CREAM
170038646140,"BEST CHOICE - COOKIES & CREAM ICE CREAM, COOKIES & CREAM"
170237121011,FRY KRISP - BATTER MIX
170237121028,FRY KRISP - SEASONED CRACKER MEAL
170471225070,"NUCCIO'S - NUCCIO'S, INFUSED OLIVE OIL, GARLIC"
170471325022,"NUCCIO'S - NUCCIO'S, INFUSED OLIVE OIL, BASIL"
170471425036,C & N IMPORTS LLC - CAJUN INFUSED OLIVE OIL
170471525057,NUCCIO'S - INFUSED OLIVE OIL
170471625047,NUCCIO'S - INFUSED OLIVE OIL
171988401018,AMERICAN BREAKFAST - HIGH FIBER CEREAL
174175682118,"STATER BROS. - TOMATO KETCHUP, TOMATO"
175900047575,Bob Evans Farms Inc - BURRITOS
175900047575,"BOB EVANS - SAUSAGE, EGG & CHEESE WITH POTATOES, ONIONS & GREEN PEPPERS BURRITOS, SAUSAGE, EGG & CHEESE"
177459123335,"HARTVILLE KITCHEN - GOLDEN ITALIAN SALAD DRESSING, GOLDEN ITALIAN"
179899174809,J-BASKET - BATTER MIX TEMPURA
180001001012,HUNTER & HILSBERG - RASPBERRY PRESERVES
180001001029,HUNTER & HILSBERG - BLUEBERRY PRESERVES
180001001043,HUNTER & HILSBERG - STRAWBERRY PRESERVES
180001001111,"HUNTER & HILSBERG - SPICY HOT CRANBERRY SPREAD, SPICY HOT CRANBERRY"
180001001128,HUNTER & HILSBERG - PRESERVES
180001001128,"HUNTER & HILSBERG - PRESERVES, STRAWBERRY RHUBARB"
180001001289,"HUNTER & HILSBERG - APPLE CIDER JELLY, APPLE CIDER"
180002000229,JUNGLE PRODUCTS - COCONUT OIL
180009000024,"THE POP SHOPPE - THE POP SHOPPE, LIME RICKEY"
180009000031,"THE POP SHOPPE - THE POP SHOPPE, CREAM SODA"
180036000479,"MOTHER'S FARMS - VEGETABLE MEDLEY TORTILLA CHIPS, VEGETABLE MEDLEY"
180085000000,Wild Dutchman Sunflower Seeds - SUNFLOWER SEEDS
180085000000,WILD DUTCHMAN - SUNFLOWER SEEDS
180085000017,WILD DUTCHMAN - SUNFLOWER SEEDS
180127000005,"Zico Beverages, LLC - ZICO, 100% NATURAL PREMIUM COCONUT WATER"
180127000005,"ZICO - ZICO, 100% NATURAL PREMIUM COCONUT WATER"
180127000104,"Zico Beverages, LLC - NATURAL PURE PREMIUM COCONUT WATER"
180127000104,"Zico Beverages, LLC - 100% NATURAL COCONUT WATER"
180127000104,ZICO - 100% NATURAL COCONUT WATER
180127000104,"ZICO - NATURAL 100% COCONUT WATER, COCONUT"
